,Variable Name,Variable Label,Variable Order in File,Variable Type,Length
408,ZINWIRELESS,Imputation flag for INWIRELESS,409,Numeric,8
409,ZPCPRINT,Imputation flag for PCPRINT,410,Numeric,8
410,ZFAX,Imputation flag for FAX,411,Numeric,8
411,ZCOPIER,Imputation flag for COPIER,412,Numeric,8
412,ZWELLPUMP,Imputation flag for WELLPUMP,413,Numeric,8
413,ZDIPSTICK,Imputation flag for DIPSTICK,414,Numeric,8
414,ZSWAMPCOL,Imputation flag for SWAMPCOL,415,Numeric,8
415,ZAQUARIUM,Imputation flag for AQUARIUM,416,Numeric,8
416,ZSTEREO,Imputation flag for STEREO,417,Numeric,8
417,ZNOCORD,Imputation flag for NOCORD,418,Numeric,8
418,ZANSMACH,Imputation flag for ANSMACH,419,Numeric,8
419,ZBATTOOLS,Imputation flag for BATTOOLS,420,Numeric,8
420,ZBATCHRG,Imputation flag for BATCHRG,421,Numeric,8
421,ZCHRGPLGT,Imputation flag for CHRGPLGT,422,Numeric,8
422,ZELECDEV,Imputation flag for ELECDEV,423,Numeric,8
423,ZELECCHRG,Imputation flag for ELECCHRG,424,Numeric,8
424,ZCHRGPLGE,Imputation flag for CHRGPLGE,425,Numeric,8
425,HEATHOME,Space heating equipment used,426,Numeric,8
426,DNTHEAT,"No space heating equipment, or unused space heating equipment",427,Numeric,8
427,EQUIPNOHEAT,Unused space heating equipment type,428,Numeric,8
428,FUELNOHEAT,Fuel for unused space heating equipment,429,Numeric,8
429,EQUIPM,Type of main space heating equpiment used,430,Numeric,8
430,FUELHEAT,Main space heating fuel,431,Numeric,8
431,MAINTHT,Routine service or maintenance performed on main space heating equipment,432,Numeric,8
432,EQUIPAGE,Age of main space heating equipment,433,Numeric,8
433,REPLCHT,Main space heating equipment replaced by this household in the last 4 years,434,Numeric,8
434,HELPHT,Assistance for replacing or maintaining main space heating equipment,435,Numeric,8
435,HELPHTY,Year of assistance for main space heating equipment,436,Numeric,8
436,HEATOTH,"Main space heating equipment heats other homes, business, or farm",437,Numeric,8
437,EQUIPAUX,Secondary space heating equipment used,438,Numeric,8
438,REVERSE,Heat pump used for secondary space heating,439,Numeric,3
439,WARMAIR,Central warm-air furnace used for secondary space heating,440,Numeric,3
440,FURNFUEL,Fuel used by warm-air furnace for secondary space heating,441,Numeric,8
441,STEAMR,Hot water system used for secondary space heating,442,Numeric,3
442,RADFUEL,Fuel used by hot water system for secondary space heating,443,Numeric,8
443,PERMELEC,Built-in electric units used for secondary space heating,444,Numeric,3
444,PIPELESS,Pipeless furnace used for secondary space heating,445,Numeric,3
445,PIPEFUEL,Fuel used by pipeless furnace for secondary space heating,446,Numeric,8
446,ROOMHEAT,Built-in room heaters used for secondary space hearing,447,Numeric,3
447,RMHTFUEL,Fuel used by built-in electric units for secondary space heating,448,Numeric,8
448,WOODKILN,Heating stove used for secondary space heating,449,Numeric,3
449,HSFUEL,Fuel used by heating stove for secondary space heating,450,Numeric,8
450,CARRYEL,Portable electric heaters used for secondary space heating,451,Numeric,3
451,CARRYKER,Portable kerosene heaters used for secondary space heating,452,Numeric,3
452,CHIMNEY,Fireplace used for secondary space heating,453,Numeric,3
453,FPFUEL,Fuel used by fireplace for secondary space heating,454,Numeric,8
454,NGFPFLUE,Flue on gas fireplace,455,Numeric,8
455,USENGFP,Frequency gas fireplace used,456,Numeric,8
456,RANGE,Cooking stove used for secondary space heating,457,Numeric,3
457,RNGFUEL,Fuel used by cooking stove for secondary space heating,458,Numeric,8
458,DIFEQUIP,Other equipment used for secondary space heating,459,Numeric,3
459,DIFFUEL,Fuel used by other secondary space heating equipment,460,Numeric,8
460,EQMAMT,Portion of space heating provided by main space heating equipment (for homes with main and secondary heating only),461,Numeric,8
461,HEATROOM,Number of rooms heated,462,Numeric,8
462,THERMAIN,Thermostat(s) for heating equipment,463,Numeric,8
463,NUMTHERM,Number of thermostats,464,Numeric,8
464,PROTHERM,Programmable main thermostat,465,Numeric,8
465,AUTOHEATNITE,Programmable thermostat lowers temperature at night,466,Numeric,8
466,AUTOHEATDAY,Programmable thermostat lowers temperature during the day,467,Numeric,8
467,TEMPHOME,Temperature when someone is home during the day (winter),468,Numeric,8
468,TEMPGONE,Temperature when no on is home during the day (winter),469,Numeric,8
469,TEMPNITE,Temperature at night (winter),470,Numeric,8
470,MOISTURE,Humidifier used,471,Numeric,8
471,USEMOISTURE,Number of months humidifier used in 2009,472,Numeric,8
472,ZHEATHOME,Imputation flag for HEATHOME,473,Numeric,8
473,ZDNTHEAT,Imputation flag for DNTHEAT,474,Numeric,8
474,ZEQUIPNOHEAT,Imputation flag for EQUIPNOHEAT,475,Numeric,8
475,ZFUELNOHEAT,Imputation flag for FUELNOHEAT,476,Numeric,8
476,ZEQUIPM,Imputation flag for EQUIPM,477,Numeric,8
477,ZFUELHEAT,Imputation flag for FUELHEAT,478,Numeric,8
478,ZMAINTHT,Imputation flag for MAINTHT,479,Numeric,8
479,ZEQUIPAGE,Imputation flag for EQUIPAGE,480,Numeric,8
480,ZHEATOTH,Imputation flag for HEATOTH,481,Numeric,8
481,ZFURNFUEL,Imputation flag for FURNFUEL,482,Numeric,8
482,ZRADFUEL,Imputation flag for RADFUEL,483,Numeric,8
483,ZPIPEFUEL,Imputation flag for PIPEFUEL,484,Numeric,8
484,ZRMHTFUEL,Imputation flag for RMHTFUEL,485,Numeric,8
485,ZHSFUEL,Imputation flag for HSFUEL,486,Numeric,8
486,ZFPFUEL,Imputation flag for FPFUEL,487,Numeric,8
487,ZNGFPFLUE,Imputation flag for NGFPFLUE,488,Numeric,8
488,ZUSENGFP,Imputation flag for USENGFP,489,Numeric,8
489,ZRNGFUEL,Imputation flag for RNGFUEL,490,Numeric,8
490,ZDIFFUEL,Imputation flag for DIFFUEL,491,Numeric,8
491,ZEQMAMT,Imputation flag for EQMAMT,492,Numeric,8
492,ZHEATROOM,Imputation flag for HEATROOM,493,Numeric,8
493,ZTHERMAIN,Imputation flag for THERMAIN,494,Numeric,8
494,ZNUMTHERM,Imputation flag for NUMTHERM,495,Numeric,8
495,ZPROTHERM,Imputation flag for PROTHERM,496,Numeric,8
496,ZAUTOHEATNITE,Imputation flag for AUTOHEATNITE,497,Numeric,8
497,ZAUTOHEATDAY,Imputation flag for AUTOHEATDAY,498,Numeric,8
498,ZTEMPHOME,Imputation flag for TEMPHOME,499,Numeric,8
499,ZTEMPGONE,Imputation flag for TEMPGONE,500,Numeric,8
500,ZTEMPNITE,Imputation flag for TEMPNITE,501,Numeric,8
501,ZMOISTURE,Imputation flag for MOISTURE,502,Numeric,8
502,ZUSEMOISTURE,Imputation flag for USEMOISTURE,503,Numeric,8
503,NUMH2ONOTNK,Number of tankless water heaters,504,Numeric,8
504,NUMH2OHTRS,Number of storage water heaters,505,Numeric,8
505,H2OTYPE1,Type of main water heater,506,Numeric,8
506,FUELH2O,Fuel used by main water heater,507,Numeric,8
507,WHEATOTH,Main water heater is used by more than one housing unit,508,Numeric,8
508,WHEATSIZ,Main water heater size (if storage tank),509,Numeric,8
509,WHEATAGE,Main water heater age,510,Numeric,8
510,WHEATBKT,Blanket around the main water heater (if storage tank),511,Numeric,8
511,HELPWH,Assistance for purchasing the water heater blanket,512,Numeric,8
512,HELPWHY,Year of the assistance for purchasing the water heater blanket,513,Numeric,8
513,H2OTYPE2,Type of secondary water heater,514,Numeric,8
514,FUELH2O2,Fuel used by secondary water heater,515,Numeric,8
515,WHEATSIZ2,Secondary water heater size (if storage tank),516,Numeric,8
516,WHEATAGE2,Secondary water heater age,517,Numeric,8
517,ZNUMH2OHTRS,Imputation flag for NUMH2OHTRS,518,Numeric,8
518,ZNUMH2ONOTNK,Imputation flag for NUMH2ONOTNK,519,Numeric,8
519,ZH2OTYPE1,Imputation flag for H2OTYPE1,520,Numeric,8
520,ZFUELH2O,Imputation flag for FUELH2O,521,Numeric,8
521,ZWHEATOTH,Imputation flag for WHEATOTH,522,Numeric,8
522,ZWHEATSIZ,Imputation flag for WHEATSIZ,523,Numeric,8
523,ZWHEATAGE,Imputation flag for WHEATAGE,524,Numeric,8
524,ZWHEATBKT,Imputation flag for WHEATBKT,525,Numeric,8
525,ZH2OTYPE2,Imputation flag for H2OTYPE2,526,Numeric,8
526,ZFUELH2O2,Imputation flag for FUELH2O2,527,Numeric,8
527,ZWHEATSIZ2,Imputation flag for WHEATSIZ2,528,Numeric,8
528,ZWHEATAGE2,Imputation flag for WHEATAGE2,529,Numeric,8
529,AIRCOND,Air conditioning equipment used,530,Numeric,8
530,DNTAC,"No air conditioning equipment, or unused air conditioning equipment",531,Numeric,8
531,COOLTYPENOAC,Type of unused air conditioning equipment,532,Numeric,8
532,COOLTYPE,Type of air conditioning equipment used,533,Numeric,8
533,DUCTS,Ducts for space heating and air conditioning,534,Numeric,8
534,CENACHP,Central air conditioner is a heat pump,535,Numeric,8
535,ACOTHERS,"Central air conditioner cools other homes, business, or farm",536,Numeric,8
536,MAINTAC,Routine service or maintenance performed on central air conditioner,537,Numeric,8
537,AGECENAC,Age of central air conditioner,538,Numeric,8
538,REPLCCAC,Central air conditioner replaced by this household in the last 4 years,539,Numeric,8
539,HELPCAC,Assistance for maintaining or replacing central air conditioner,540,Numeric,8
540,HELPCACY,Year of assistance for central air conditioner,541,Numeric,8
541,ACROOMS,Number of rooms cooled,542,Numeric,8
542,USECENAC,Frequency central air conditioner used in summer 2009,543,Numeric,8
543,THERMAINAC,Thermostat for central air conditioner,544,Numeric,8
544,PROTHERMAC,Programmable thermostat for central air conditioner,545,Numeric,8
545,AUTOCOOLNITE,Programmable thermostat adjusts temperature at night,546,Numeric,8
546,AUTOCOOLDAY,Programmable thermostat adjusts temperature during the day,547,Numeric,8
547,TEMPHOMEAC,Temperature when someone is home during the day (summer),548,Numeric,8
548,TEMPGONEAC,Temperature when no on is home during the day (summer),549,Numeric,8
549,TEMPNITEAC,Temperature at night (summer),550,Numeric,8
550,NUMBERAC,Number of window/wall air conditioning units used,551,Numeric,8
551,WWACAGE,Age of most-used window/wall air conditioning unit,552,Numeric,8
552,ESWWAC,Energy Star most-used window/wall air conditioning unit,553,Numeric,8
553,REPLCWWAC,Most-used window/wall air conditioning unit replaced by this household in the last 4 years,554,Numeric,8
554,HELPWWAC,Assistance for most-used window/wall air conditioning unit,555,Numeric,8
555,HELPWWACY,Year of assistance for most-used window/wall air conditioning unit,556,Numeric,8
556,USEWWAC,Frequency most-used window/wall air conditioning unit used in summer 2009,557,Numeric,8
557,NUMCFAN,Number of ceiling fans used,558,Numeric,8
558,USECFAN,Frequency most-used ceiling fan used in summer 2009,559,Numeric,8
559,TREESHAD,Housing unit shaded from sun by large trees,560,Numeric,8
560,NOTMOIST,Dehumidifier used,561,Numeric,8
561,USENOTMOIST,Number of months dehumidifier used in 2009,562,Numeric,8
562,ZAIRCOND,Imputation flag for AIRCOND,563,Numeric,8
563,ZDNTAC,Imputation flag for DNTAC,564,Numeric,8
564,ZCOOLTYPENOAC,Imputation flag for COOLTYPENOAC,565,Numeric,8
565,ZCOOLTYPE,Imputation flag for COOLTYPE,566,Numeric,8
566,ZDUCTS,Imputation flag for DUCTS,567,Numeric,8
567,ZCENACHP,Imputation flag for CENACHP,568,Numeric,8
568,ZACOTHERS,Imputation flag for ACOTHERS,569,Numeric,8
569,ZMAINTAC,Imputation flag for MAINTAC,570,Numeric,8
570,ZAGECENAC,Imputation flag for AGECENAC,571,Numeric,8
571,ZUSECENAC,Imputation flag for USECENAC,572,Numeric,8
572,ZACROOMS,Imputation flag for ACROOMS,573,Numeric,8
573,ZTHERMAINAC,Imputation flag for THERMAINAC,574,Numeric,8
574,ZPROTHERMAC,Imputation flag for PROTHERMAC,575,Numeric,8
575,ZAUTOCOOLNITE,Imputation flag for AUTOCOOLNITE,576,Numeric,8
576,ZAUTOCOOLDAY,Imputation flag for AUTOCOOLDAY,577,Numeric,8
577,ZTEMPHOMEAC,Imputation flag for TEMPHOMEAC,578,Numeric,8
578,ZTEMPGONEAC,Imputation flag for TEMPGONEAC,579,Numeric,8
579,ZTEMPNITEAC,Imputation flag for TEMPNITEAC,580,Numeric,8
580,ZNUMBERAC,Imputation flag for NUMBERAC,581,Numeric,8
581,ZWWACAGE,Imputation flag for WWACAGE,582,Numeric,8
582,ZUSEWWAC,Imputation flag for USEWWAC,583,Numeric,8
583,ZNUMCFAN,Imputation flag for NUMCFAN,584,Numeric,8
584,ZUSECFAN,Imputation flag for USECFAN,585,Numeric,8
585,ZTREESHAD,Imputation flag for TREESHAD,586,Numeric,8
586,ZNOTMOIST,Imputation flag for NOTMOIST,587,Numeric,8
587,ZUSENOTMOIST,Imputation flag for USENOTMOIST,588,Numeric,8
588,HIGHCEIL,High ceilings,589,Numeric,8
589,CATHCEIL,Cathedral ceilings,590,Numeric,8
590,SWIMPOOL,Swimming pool,591,Numeric,8
591,POOL,Heated swimming pool,592,Numeric,8
592,FUELPOOL,Fuel used for heating swimming pool,593,Numeric,8
593,RECBATH,Hot tub used,594,Numeric,8
594,FUELTUB,Fuel used for heating hot tub,595,Numeric,8
595,LGT12,Number of lights turned on 12 or more hours during a typical summer day,596,Numeric,8
596,LGT12EE,Number of energy-efficient bulbs for lights turned on 12 or more hours during a typical summer day,597,Numeric,8
597,LGT4,Number of lights turned on 4 to 12 hours during a typical summer day,598,Numeric,8
598,LGT4EE,Number of energy-efficient bulbs for lights turned on 4 to 12 hours during a typical summer day,599,Numeric,8
599,LGT1,Number of lights turned on 1 to 4 hours during a typical summer day,600,Numeric,8
600,LGT1EE,Number of energy-efficient bulbs for lights turned on 1 to 4 hours during a typical summer day,601,Numeric,8
601,NOUTLGTNT,Number of outdoor lights left on all night,602,Numeric,8
602,LGTOEE,Number of energy-efficient bulbs for outdoor lights left on all night,603,Numeric,8
603,NGASLIGHT,Number of outdoor lights left on all night that use natural gas,604,Numeric,8
604,INSTLCFL,Energy-efficient bulbs installed by this household,605,Numeric,8
605,HELPCFL,Assistance for energy-efficient light bulbs,606,Numeric,8
606,HELPCFLY,Year of assistance for energy-efficient light bulbs,607,Numeric,8
607,SLDDRS,Sliding glass doors in heated areas,608,Numeric,8
608,DOOR1SUM,Number of sliding glass doors in heated areas,609,Numeric,8
609,WINDOWS,Number of windows in heated areas,610,Numeric,8
610,TYPEGLASS,Type of glass in most windows,611,Numeric,8
611,NEWGLASS,Windows replaced by this household,612,Numeric,8
612,HELPWIN,Assistance for window replacement,613,Numeric,8
613,HELPWINY,Year of assistance for window replacement,614,Numeric,8
614,ADQINSUL,Level of insulation (respondent reported),615,Numeric,8
615,INSTLINS,Insulation added by this household,616,Numeric,8
616,AGEINS,Year of added insulation,617,Numeric,8
617,HELPINS,Assistance for added insulation,618,Numeric,8
618,HELPINSY,Year of assistance for added insulation,619,Numeric,8
619,DRAFTY,Is home too drafty in the winter? (respondent reported),620,Numeric,8
620,INSTLWS,Caulking or weather stripping by this household,621,Numeric,8
621,AGEWS,Year of caulking or weather stripping,622,Numeric,8
622,HELPWS,Assistance for caulking or weather stripping,623,Numeric,8
623,HELPWSY,Year of assistance for caulking or weather stripping,624,Numeric,8
624,AUDIT,Home energy audit,625,Numeric,8
625,AGEAUD,Year of home energy audit,626,Numeric,8
626,HELPAUD,Assistance for home energy audit,627,Numeric,8
627,HELPAUDY,Year of assistance for home energy audit,628,Numeric,8
628,ZHIGHCEIL,Imputation flag for HIGHCEIL,629,Numeric,8
629,ZCATHCEIL,Imputation flag for CATHCEIL,630,Numeric,8
630,ZSWIMPOOL,Imputation flag for SWIMPOOL,631,Numeric,8
631,ZPOOL,Imputation flag for POOL,632,Numeric,8
632,ZFUELPOOL,Imputation flag for FUELPOOL,633,Numeric,8
633,ZRECBATH,Imputation flag for RECBATH,634,Numeric,8
634,ZFUELTUB,Imputation flag for FUELTUB,635,Numeric,8
635,ZLGT12,Imputation flag for LGT12,636,Numeric,8
636,ZLGT4,Imputation flag for LGT4,637,Numeric,8
637,ZLGT1,Imputation flag for LGT1,638,Numeric,8
638,ZNOUTLGTNT,Imputation flag for NOUTLGTNT,639,Numeric,8
639,ZNGASLIGHT,Imputation flag for NGASLIGHT,640,Numeric,8
640,ZSLDDRS,Imputation flag for SLDDRS,641,Numeric,8
641,ZDOOR1SUM,Imputation flag for DOOR1SUM,642,Numeric,8
642,ZWINDOWS,Imputation flag for WINDOWS,643,Numeric,8
643,ZTYPEGLASS,Imputation flag for TYPEGLASS,644,Numeric,8
644,ZNEWGLASS,Imputation flag for NEWGLASS,645,Numeric,8
645,ZADQINSUL,Imputation flag for ADQINSUL,646,Numeric,8
646,ZINSTLINS,Imputation flag for INSTLINS,647,Numeric,8
647,ZAGEINS,Imputation flag for AGEINS,648,Numeric,8
648,ZDRAFTY,Imputation flag for DRAFTY,649,Numeric,8
649,ZINSTLWS,Imputation flag for INSTLWS,650,Numeric,8
650,ZAGEWS,Imputation flag for AGEWS,651,Numeric,8
651,ZAUDIT,Imputation flag for AUDIT,652,Numeric,8
652,ZAGEAUD,Imputation flag for AGEAUD,653,Numeric,8
653,USEEL,Electricity is used in home,654,Numeric,3
654,USENG,Natural gas is used in home,655,Numeric,3
655,USELP,Propane is used in home,656,Numeric,3
656,USEFO,Fuel oil is used in home,657,Numeric,3
657,USEKERO,Kerosene is used in home,658,Numeric,3
658,USEWOOD,Wood is used in home,659,Numeric,3
659,USESOLAR,Solar is used in home,660,Numeric,3
660,USEOTH,Other fuel is used in home,661,Numeric,3
661,ELWARM,Electricity used for space heating,662,Numeric,3
662,ELECAUX,Electricity used for secondary space heating,663,Numeric,3
663,ELCOOL,Electricity used for air conditioning,664,Numeric,3
664,ELWATER,Electricity used for water heating,665,Numeric,3
665,ELFOOD,Electricity used for cooking,666,Numeric,3
666,ELOTHER,"Electricity used, other than for space heating, water heating, air conditioning, or cooking",667,Numeric,3
667,UGWARM,Natural gas used for space heating,668,Numeric,3
668,UGASAUX,Natural gas used for secondary space heating,669,Numeric,3
669,UGWATER,Natural gas used for water heating,670,Numeric,3
670,UGCOOK,Natural gas used for cooking,671,Numeric,3
671,UGOTH,"Natural gas used, other than for space heating, water heating, or cooking",672,Numeric,3
672,LPWARM,Propane used for space heating,673,Numeric,3
673,LPGAUX,Propane used for secondary space heating,674,Numeric,3
674,LPWATER,Propane used for water heating,675,Numeric,3
675,LPCOOK,Propane used for cooking,676,Numeric,3
676,LPOTHER,"Propane used, other than for space heating, water heating, or cooking",677,Numeric,3
677,FOWARM,Fuel oil used for space heating,678,Numeric,3
678,FOILAUX,Fuel oil used for secondary space heating,679,Numeric,3
679,FOWATER,Fuel oil used for water heating,680,Numeric,3
680,FOOTHER,"Fuel oil used, other than for space heating or water heating",681,Numeric,3
681,KRWARM,Kerosene used for space heating,682,Numeric,3
682,KEROAUX,Kerosene used for secondary space heating,683,Numeric,3
683,KRWATER,Kerosene used for water heating,684,Numeric,3
684,KROTHER,"Kerosene used, other than for space heating or water heating",685,Numeric,3
685,WDWARM,Wood used for space heating,686,Numeric,3
686,WOODAUX,Wood used for secondary space heating,687,Numeric,3
687,WDWATER,Wood used for water heating,688,Numeric,3
688,WDOTHUSE,"Wood used, other than for space heating or water heating",689,Numeric,8
689,SOLWARM,Solar used for space heating,690,Numeric,3
690,SOLARAUX,Solar used for secondary space heating,691,Numeric,3
691,SOLWATER,Solar used for water heating,692,Numeric,3
692,SOLOTHER,"Solar used, other than for space heating or water heating",693,Numeric,3
693,OTHWARM,Other fuel used for space heating,694,Numeric,8
694,OTHERAUX,Other fuel used for secondary space heating,695,Numeric,3
695,OTHWATER,Other fuel used for water heating,696,Numeric,8
696,OTHCOOK,Other fuel used for cooking,697,Numeric,3
697,ONSITE,Renewable on-site system used,698,Numeric,8
698,ONSITEGRID,Renewable on-site system connected to the grid,699,Numeric,8
699,PELHEAT,Who pays for electricity used for space heating,700,Numeric,8
700,PELHOTWA,Who pays for electricity used for water heating,701,Numeric,8
701,PELCOOK,Who pays for electricity used for cooking,702,Numeric,8
702,PELAC,Who pays for electricity used for air conditioning,703,Numeric,8
703,PELLIGHT,Who pays for electricity used for lighting and other appliances,704,Numeric,8
704,OTHERWAYEL,Follow up for 'other' payment of electricity,705,Numeric,8
705,PGASHEAT,Who pays for natural gas for space heating,706,Numeric,8
706,PGASHTWA,Who pays for natural gas for water heating,707,Numeric,8
707,PUGCOOK,Who pays for natural gas for cooking,708,Numeric,8
708,PUGOTH,Who pays for natural gas for other uses,709,Numeric,8
709,OTHERWAYNG,Follow up for 'other' payment of natural gas,710,Numeric,8
710,FOPAY,Who pays for fuel oil,711,Numeric,8
711,OTHERWAYFO,Follow up for 'other' payment of fuel oil,712,Numeric,8
712,LPGPAY,Who pays for propane,713,Numeric,8
713,OTHERWAYLPG,Follow up for 'other' payment of propane,714,Numeric,8
714,LPGDELV,Propane delivered,715,Numeric,8
715,KERODEL,Kerosene delivered to home,716,Numeric,8
716,KEROCASH,Kerosene purchased 'cash and carry',717,Numeric,8
717,NOCRCASH,Number of kerosene 'cash and carry' purchases,718,Numeric,8
718,NKRGALNC,Gallons per kerosene 'cash and carry' purchase,719,Numeric,8
719,WOODLOGS,Wood logs used,720,Numeric,8
720,WDSCRAP,Wood scraps used,721,Numeric,8
721,WDPELLET,Wood pellets used,722,Numeric,8
722,WDOTHER,"Type of wood used other than logs, pellets, or scraps",723,Numeric,8
723,WOODAMT,Cords of wood used in 2009,724,Numeric,8
724,NUMCORDS,Cords of wood used in 2009 (if more than 5),725,Numeric,8
725,ZONSITE,Imputation flag for ONSITE,726,Numeric,8
726,ZONSITEGRID,Imputation flag for ONSITEGRID,727,Numeric,8
727,ZPELHEAT,Imputation flag for PELHEAT,728,Numeric,8
728,ZPELHOTWA,Imputation flag for PELHOTWA,729,Numeric,8
729,ZPELCOOK,Imputation flag for PELCOOK,730,Numeric,8
730,ZPELAC,Imputation flag for PELAC,731,Numeric,8
731,ZPELLIGHT,Imputation flag for PELLIGHT,732,Numeric,8
732,ZOTHERWAYEL,Imputation flag for OTHERWAYEL,733,Numeric,8
733,ZPGASHEAT,Imputation flag for PGASHEAT,734,Numeric,8
734,ZPGASHTWA,Imputation flag for PGASHTWA,735,Numeric,8
735,ZPUGCOOK,Imputation flag for PUGCOOK,736,Numeric,8
736,ZPUGOTH,Imputation flag for PUGOTH,737,Numeric,8
737,ZOTHERWAYNG,Imputation flag for OTHERWAYNG,738,Numeric,8
738,ZFOPAY,Imputation flag for FOPAY,739,Numeric,8
739,ZOTHERWAYFO,Imputation flag for OTHERWAYFO,740,Numeric,8
740,ZLPGPAY,Imputation flag for LPGPAY,741,Numeric,8
741,ZOTHERWAYLPG,Imputation flag for OTHERWAYLPG,742,Numeric,8
742,ZKERODEL,Imputation flag for KERODEL,743,Numeric,8
743,ZKEROCASH,Imputation flag for KEROCASH,744,Numeric,8
744,ZNOCRCASH,Imputation flag for NOCRCASH,745,Numeric,8
745,ZNKRGALNC,Imputation flag for NKRGALNC,746,Numeric,8
746,ZWOODLOGS,Imputation flag for WOODLOGS,747,Numeric,8
747,ZWDSCRAP,Imputation flag for WDSCRAP,748,Numeric,8
748,ZWDPELLET,Imputation flag for WDPELLET,749,Numeric,8
749,ZWDOTHER,Imputation flag for WDOTHER,750,Numeric,8
750,ZWOODAMT,Imputation flag for WOODAMT,751,Numeric,8
751,ZNUMCORDS,Imputation flag for NUMCORDS,752,Numeric,8
752,KFUELOT,Household fuel bills include fuel used for non-household purposes,753,Numeric,8
753,HHSEX,Sex of householder,754,Numeric,8
754,EMPLOYHH,Employment status of householder,755,Numeric,8
755,SPOUSE,Householder lives with spouse or partner,756,Numeric,8
756,SDESCENT,Householder is Hispanic or Latino,757,Numeric,8
757,Householder_Race,Householder's Race,758,Numeric,8
758,EDUCATION,Highest education completed by householder,759,Numeric,8
759,NHSLDMEM,Number of household members,760,Numeric,8
760,HHAGE,Age of householder,761,Numeric,8
761,AGEHHMEMCAT2,Age category of second household member,762,Numeric,8
762,AGEHHMEMCAT3,Age category of third household member,763,Numeric,8
763,AGEHHMEMCAT4,Age category of fourth household member,764,Numeric,8
764,AGEHHMEMCAT5,Age category of fifth household member,765,Numeric,8
765,AGEHHMEMCAT6,Age category of sixth household member,766,Numeric,8
766,AGEHHMEMCAT7,Age category of seventh household member,767,Numeric,8
767,AGEHHMEMCAT8,Age category of eighth household member,768,Numeric,8
768,AGEHHMEMCAT9,Age category of ninth household member,769,Numeric,8
769,AGEHHMEMCAT10,Age category of tenth household member,770,Numeric,8
770,AGEHHMEMCAT11,Age category of eleventh household member,771,Numeric,8
771,AGEHHMEMCAT12,Age category of twelfth household member,772,Numeric,8
772,AGEHHMEMCAT13,Age category of thirteenth household member,773,Numeric,8
773,AGEHHMEMCAT14,Age category of fourteenth household member,774,Numeric,8
774,HBUSNESS,Home-based business or service,775,Numeric,8
775,ATHOME,Household member at home on typical week days,776,Numeric,8
776,TELLWORK,Household member(s) telecommutes or teleworks,777,Numeric,8
777,TELLDAYS,Number of telecommuting days per month,778,Numeric,8
778,OTHWORK,Any activities that use an unusual amount of energy,779,Numeric,8
779,WORKPAY,Household members received employment income in 2009,780,Numeric,8
780,RETIREPY,Household members received retirement income in 2009,781,Numeric,8
781,SSINCOME,Household members received Supplemental Security income in 2009,782,Numeric,8
782,CASHBEN,Household members received welfare payments or cash assistance in 2009,783,Numeric,8
783,INVESTMT,Household members received investment income in 2009,784,Numeric,8
784,RGLRPAY,Household members received other regular income in 2009,785,Numeric,8
785,MONEYPY,2009 gross household income,786,Numeric,8
786,POVERTY100,Household income at or below 100% of poverty line,787,Numeric,8
787,POVERTY150,Household income at or below 150% of poverty line,788,Numeric,8
788,HUPROJ,Housing unit in public housing authority,789,Numeric,8
789,RENTHELP,"Lower rent due to Federal, State, or Local housing program",790,Numeric,8
790,FOODASST,Household receives food stamps or WIC assistance,791,Numeric,8
791,ZHHSEX,Imputation flag for HHSEX,792,Numeric,8
792,ZHHAGE,Imputation flag for HHAGE,793,Numeric,8
793,ZEMPLOYHH,Imputation flag for EMPLOYHH,794,Numeric,8
794,ZSPOUSE,Imputation flag for SPOUSE,795,Numeric,8
795,ZSDESCENT,Imputation flag for SDESCENT,796,Numeric,8
796,ZHouseholder_Race,Imputation flag for Householder_Race,797,Numeric,8
797,ZEDUCATION,Imputation flag for EDUCATION,798,Numeric,8
798,ZNHSLDMEM,Imputation flag for NHSLDMEM,799,Numeric,8
799,ZAGEHHMEMCAT2,Imputation flag for AGEHHMEMCAT2,800,Numeric,8
800,ZAGEHHMEMCAT3,Imputation flag for AGEHHMEMCAT3,801,Numeric,8
801,ZAGEHHMEMCAT4,Imputation flag for AGEHHMEMCAT4,802,Numeric,8
802,ZAGEHHMEMCAT5,Imputation flag for AGEHHMEMCAT5,803,Numeric,8
803,ZAGEHHMEMCAT6,Imputation flag for AGEHHMEMCAT6,804,Numeric,8
804,ZAGEHHMEMCAT7,Imputation flag for AGEHHMEMCAT7,805,Numeric,8
805,ZAGEHHMEMCAT8,Imputation flag for AGEHHMEMCAT8,806,Numeric,8
806,ZAGEHHMEMCAT9,Imputation flag for AGEHHMEMCAT9,807,Numeric,8
807,ZAGEHHMEMCAT10,Imputation flag for AGEHHMEMCAT10,808,Numeric,8
808,ZAGEHHMEMCAT11,Imputation flag for AGEHHMEMCAT11,809,Numeric,8
809,ZAGEHHMEMCAT12,Imputation flag for AGEHHMEMCAT12,810,Numeric,8
810,ZAGEHHMEMCAT13,Imputation flag for AGEHHMEMCAT13,811,Numeric,8
811,ZAGEHHMEMCAT14,Imputation flag for AGEHHMEMCAT14,812,Numeric,8
812,ZHBUSNESS,Imputation flag for HBUSNESS,813,Numeric,8
813,ZATHOME,Imputation flag for ATHOME,814,Numeric,8
814,ZTELLWORK,Imputation flag for TELLWORK,815,Numeric,8
